127.0.0.1 - - [12/Feb/2024:17:48:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:29 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:29 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:31 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:36 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:37 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:37 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:37 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:38 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:38 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:38 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:38 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:38 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:39 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:39 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:39 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:39 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:39 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:53:53 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:10 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:11 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:11 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:11 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:45 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:46 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:46 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:46 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:46 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:47 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:47 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:47 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:47 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:47 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:48 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:48 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:51 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:29 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:29 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:30 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:33 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654312&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&comments=+Advance+java HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:00:23 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:00:23 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:00:24 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:00:24 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:00:24 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:00:58 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654321&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=English&comments=+gdsla.dj HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:01:28 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=987654321&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=English&comments=+gdsla.dj HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:01:31 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:18:51 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:18:51 +0530] "GET /RegistrationApplication/Registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:19:44 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=0987654321&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&language=Hindi&language=English&comments=+bhdaflhiweoekl HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:20:39 +0530] "GET /RegistrationApplication/RegisterServlet?username=Alekhya&password=alekhya&phonenumber=0987654321&email=alekhya0264%40gmail.com&gender=female&dob=2024-02-01&qualification=Degree&qualification=MCA&country=India&language=Telugu&language=Hindi&language=English&comments=Advance+java+classes HTTP/1.1" 200 429
